,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Label,Output
0,163.53.78.51-172.17.237.22-443-48066-6,163.53.78.51,443.0,172.17.237.22,48066.0,6.0,22-12-21 13:03,9.0,Normal,Normal
1,172.17.237.22-52.4.194.209-45672-443-6,52.4.194.209,443.0,172.17.237.22,45672.0,6.0,22-12-21 13:03,12.0,Normal,Normal
2,172.17.237.22-52.4.194.209-45672-443-6,172.17.237.22,45672.0,52.4.194.209,443.0,6.0,22-12-21 13:03,184.0,Normal,Normal
3,172.17.237.22-18.141.21.165-42640-443-6,18.141.21.165,443.0,172.17.237.22,42640.0,6.0,22-12-21 13:04,8.0,Normal,Normal
4,172.17.237.22-18.213.10.151-37034-443-6,18.213.10.151,443.0,172.17.237.22,37034.0,6.0,22-12-21 13:04,9.0,Normal,Normal
5,172.17.237.22-18.213.10.151-37034-443-6,172.17.237.22,37034.0,18.213.10.151,443.0,6.0,22-12-21 13:04,276.0,Normal,Normal
6,172.17.237.22-54.254.11.117-56424-443-6,54.254.11.117,443.0,172.17.237.22,56424.0,6.0,22-12-21 13:04,12.0,Normal,Normal
7,172.17.237.22-54.187.11.183-59804-443-6,54.187.11.183,443.0,172.17.237.22,59804.0,6.0,22-12-21 13:04,12.0,Normal,Normal
8,172.17.237.22-54.187.11.183-59804-443-6,172.17.237.22,59804.0,54.187.11.183,443.0,6.0,22-12-21 13:04,274.0,Normal,Normal
9,172.17.237.22-52.76.187.17-47524-443-6,52.76.187.17,443.0,172.17.237.22,47524.0,6.0,22-12-21 13:04,11.0,Normal,Normal
10,172.17.237.22-52.76.187.17-47524-443-6,172.17.237.22,47524.0,52.76.187.17,443.0,6.0,22-12-21 13:04,198.0,Normal,Normal
11,172.17.237.22-18.140.144.198-57632-443-6,18.140.144.198,443.0,172.17.237.22,57632.0,6.0,22-12-21 13:04,5016189.0,Normal,Normal
12,172.17.237.22-52.114.32.187-56210-443-6,172.17.237.22,56210.0,52.114.32.187,443.0,6.0,22-12-21 13:04,6655906.0,Normal,Normal
13,172.17.237.22-35.213.12.39-49406-443-6,35.213.12.39,443.0,172.17.237.22,49406.0,6.0,22-12-21 13:04,8.0,Normal,Normal
14,172.17.237.22-23.32.177.106-58562-443-6,172.17.237.22,58562.0,23.32.177.106,443.0,6.0,22-12-21 13:04,7168099.0,Normal,Normal
15,172.17.237.22-23.32.177.106-58568-443-6,172.17.237.22,58568.0,23.32.177.106,443.0,6.0,22-12-21 13:04,7168120.0,Normal,Normal
16,172.17.237.22-23.32.177.106-58560-443-6,172.17.237.22,58560.0,23.32.177.106,443.0,6.0,22-12-21 13:04,7168135.0,Normal,Normal
17,172.17.237.22-23.32.177.106-58566-443-6,172.17.237.22,58566.0,23.32.177.106,443.0,6.0,22-12-21 13:04,7168150.0,Normal,Normal
18,172.17.237.22-23.32.177.106-58564-443-6,172.17.237.22,58564.0,23.32.177.106,443.0,6.0,22-12-21 13:04,7168165.0,Normal,Normal
19,172.17.237.22-23.32.177.106-58558-443-6,172.17.237.22,58558.0,23.32.177.106,443.0,6.0,22-12-21 13:04,7168184.0,Normal,Normal
20,172.17.237.22-54.175.36.162-53438-443-6,54.175.36.162,443.0,172.17.237.22,53438.0,6.0,22-12-21 13:04,11.0,Normal,Normal
21,172.17.237.22-54.175.36.162-53438-443-6,172.17.237.22,53438.0,54.175.36.162,443.0,6.0,22-12-21 13:04,729.0,Normal,Normal
22,172.17.237.22-3.109.226.68-57544-443-6,172.17.237.22,57544.0,3.109.226.68,443.0,6.0,22-12-21 13:04,14134033.0,Normal,Normal
23,172.17.237.22-3.114.95.219-35180-443-6,172.17.237.22,35180.0,3.114.95.219,443.0,6.0,22-12-21 13:04,15161473.0,Normal,Normal
24,172.17.237.22-104.208.16.88-52044-443-6,172.17.237.22,52044.0,104.208.16.88,443.0,6.0,22-12-21 13:04,18884034.0,Normal,Normal
25,172.17.237.22-13.107.3.128-43938-443-6,172.17.237.22,43938.0,13.107.3.128,443.0,6.0,22-12-21 13:04,19619972.0,Normal,Normal
26,172.17.237.22-13.107.246.68-48900-443-6,172.17.237.22,48900.0,13.107.246.68,443.0,6.0,22-12-21 13:04,19620007.0,Normal,Normal
27,172.17.237.22-13.107.246.68-48904-443-6,172.17.237.22,48904.0,13.107.246.68,443.0,6.0,22-12-21 13:04,19620104.0,Normal,Normal
